"Algorithm","Result","Group","Replication"
"Alg1",14735101.4047818,"195",1
"Alg2",13876387.091367,"195",1
"Alg1",11657392.7006618,"196",1
"Alg2",16180409.6900564,"196",1
"Alg1",13434192.6862793,"197",1
"Alg2",17297562.5514998,"197",1
"Alg1",13835382.941259,"198",1
"Alg2",16829774.0158452,"198",1
"Alg1",12922285.7353633,"199",1
"Alg2",16663405.3509944,"199",1
"Alg1",13764062.6244642,"200",1
"Alg2",18115645.3345683,"200",1
"Alg1",14410839.661704,"201",1
"Alg2",16332095.6792103,"201",1
"Alg1",14656174.1364993,"202",1
"Alg2",17466759.6278981,"202",1
"Alg1",14678216.0339161,"203",1
"Alg2",16949890.5504684,"203",1
"Alg1",14983415.8514574,"204",1
"Alg2",18439790.2659352,"204",1
"Alg1",14612757.7327325,"205",1
"Alg2",16996455.7609232,"205",1
"Alg1",15706420.6101602,"206",1
"Alg2",17235633.5405129,"206",1
"Alg1",16713286.8720909,"207",1
"Alg2",17512423.2805876,"207",1
"Alg1",14870194.4992792,"208",1
"Alg2",16557997.9779768,"208",1
"Alg1",14983711.3978227,"209",1
"Alg2",16642976.5608019,"209",1
"Alg1",15906710.3800176,"210",1
"Alg2",16004895.1624459,"210",1
"Alg1",13677475.7591391,"211",1
"Alg2",17311770.611354,"211",1
"Alg1",16753271.505508,"212",1
"Alg2",17006381.8813416,"212",1
"Alg1",17377087.4451404,"213",1
"Alg2",17724954.5582007,"213",1
"Alg1",17066735.7906545,"214",1
"Alg2",18013243.3216757,"214",1
"Alg1",14840611.8305248,"215",1
"Alg2",17400951.3599789,"215",1
"Alg1",14840068.291466,"216",1
"Alg2",17533489.8132146,"216",1
"Alg1",16627447.1468488,"217",1
"Alg2",17850493.0279331,"217",1
"Alg1",15903077.7824536,"218",1
"Alg2",17414323.2098945,"218",1
"Alg1",17094636.0522714,"219",1
"Alg2",17634730.2919094,"219",1
"Alg1",16531019.2170879,"220",1
"Alg2",19306329.6777183,"220",1
"Alg1",15949242.2112102,"221",1
"Alg2",19220533.7530081,"221",1
"Alg1",15641418.3840328,"222",1
"Alg2",18186857.2308568,"222",1
"Alg1",18100595.8385128,"223",1
"Alg2",19293190.4837099,"223",1
"Alg1",17448583.6269749,"224",1
