DIM_key,DIM,BAL_key,BAL,LIN_key,LIN,NOISE_key,NOISE,NUM_SAMPLES,SEED_run,Run,AUC_LR,AUC_SVM,AUC_RF,AUC_XGB
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,130,8,0.9815699999999999,0.98339,0.9845274999999999,0.984455
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,131,9,0.9998999999999999,0.99977,0.9993525,0.9997550000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,132,10,0.9855750000000001,0.9891400000000001,0.9959000000000001,0.994355
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,133,11,0.9865950000000001,0.9915050000000001,0.9932974999999999,0.9931000000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,134,12,0.99367,0.9935750000000001,0.9935725,0.9943199999999999
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,135,13,1.0,1.0,0.9999600000000001,0.9999549999999999
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,136,14,0.9749749999999999,0.98934,0.993205,0.9936549999999998
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,137,15,1.0,1.0,1.0,0.99996
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,138,16,0.9911899999999999,0.9957699999999999,0.9946225,0.995455
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,139,17,0.929115,0.969025,0.9874175000000001,0.9843500000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,140,18,0.86866,0.96289,0.962595,0.96205
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,141,19,0.982585,0.9906675,0.9923075000000001,0.9937150000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,142,20,0.99644,0.9941849999999999,0.9988849999999999,0.9987999999999999
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,143,21,0.89125,0.9807675,0.9854949999999999,0.9857150000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,144,22,0.999925,0.99999,0.9999874999999999,0.9999100000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,145,23,0.921415,0.9500250000000001,0.9417774999999999,0.9418
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,146,24,0.9995750000000001,0.9995999999999998,0.9984500000000001,0.99908
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,147,25,0.9207450000000001,0.9666124999999999,0.97172,0.974305
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,148,26,0.9998850000000001,0.99985,0.9995925,0.9994800000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,149,27,0.9935499999999999,0.994965,0.9927975,0.9939350000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,150,28,0.9876850000000001,0.995435,0.9957225000000001,0.996365
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,151,29,0.9357599999999999,0.9733450000000001,0.9801374999999999,0.9836750000000001
